Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,81.7,165,Unhealthy,101.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,92.3,170,Unhealthy,103.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,65.2,156,Unhealthy,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,46.0,127,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,34.5,98,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,27.7,84,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,22.3,72,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,20.6,69,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,20.8,69,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,20.4,68,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,22.7,73,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,23.3,75,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,27.1,83,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,27.0,82,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,22.8,74,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,22.4,73,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,24.0,76,Moderate,26.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,25.3,79,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,28.8,86,Moderate,33.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,53.6,146,Unhealthy for Sensitive Groups,78.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,51.3,140,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,62.6,155,Unhealthy,74.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,60.8,154,Unhealthy,59.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,48.4,133,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,40.2,113,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,35.1,99,Moderate,30.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,27.5,83,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,23.7,75,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,21.3,70,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,19.6,67,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,19.8,67,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,21.9,72,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,21.4,71,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,27.7,84,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,26.3,81,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,93.8,171,Unhealthy,163.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,81.9,165,Unhealthy,70.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,81.9,165,Unhealthy,82.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,79.9,164,Unhealthy,78.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,86.0,167,Unhealthy,92.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,105.5,177,Unhealthy,125.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,110.7,180,Unhealthy,116.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,115.8,182,Unhealthy,121.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,135.4,192,Unhealthy,155.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,151.2,202,Very Unhealthy,167.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,137.6,193,Unhealthy,124.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 12:00 AM,2020,01,03,00,131.8,190,Unhealthy,126.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 01:00 AM,2020,01,03,01,137.9,194,Unhealthy,144.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 02:00 AM,2020,01,03,02,109.9,179,Unhealthy,82.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 03:00 AM,2020,01,03,03,84.4,166,Unhealthy,59.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 04:00 AM,2020,01,03,04,64.2,155,Unhealthy,44.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 05:00 AM,2020,01,03,05,59.6,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 06:00 AM,2020,01,03,06,45.2,125,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 07:00 AM,2020,01,03,07,36.1,102,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 08:00 AM,2020,01,03,08,29.5,88,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 09:00 AM,2020,01,03,09,31.2,91,Moderate,33.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 10:00 AM,2020,01,03,10,33.6,96,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 11:00 AM,2020,01,03,11,21.7,71,Moderate,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 12:00 PM,2020,01,03,12,15.3,58,Moderate,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 01:00 PM,2020,01,03,13,12.1,51,Moderate,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 02:00 PM,2020,01,03,14,10.0,42,Good,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 03:00 PM,2020,01,03,15,9.5,40,Good,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 04:00 PM,2020,01,03,16,10.2,43,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 05:00 PM,2020,01,03,17,10.1,42,Good,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 06:00 PM,2020,01,03,18,12.0,50,Good,14.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 07:00 PM,2020,01,03,19,10.5,44,Good,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 08:00 PM,2020,01,03,20,11.7,49,Good,13.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 09:00 PM,2020,01,03,21,10.8,45,Good,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 10:00 PM,2020,01,03,22,10.9,45,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-03 11:00 PM,2020,01,03,23,11.8,49,Good,13.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 12:00 AM,2020,01,04,00,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 01:00 AM,2020,01,04,01,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 02:00 AM,2020,01,04,02,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 03:00 AM,2020,01,04,03,10.2,43,Good,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 04:00 AM,2020,01,04,04,10.8,45,Good,12.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 05:00 AM,2020,01,04,05,10.5,44,Good,10.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 06:00 AM,2020,01,04,06,10.0,42,Good,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 07:00 AM,2020,01,04,07,10.6,44,Good,12.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 08:00 AM,2020,01,04,08,10.1,42,Good,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 09:00 AM,2020,01,04,09,10.4,43,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 10:00 AM,2020,01,04,10,10.5,44,Good,11.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 11:00 AM,2020,01,04,11,20.8,69,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 12:00 PM,2020,01,04,12,26.4,81,Moderate,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 01:00 PM,2020,01,04,13,23.7,75,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 02:00 PM,2020,01,04,14,22.8,74,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 03:00 PM,2020,01,04,15,23.9,76,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 04:00 PM,2020,01,04,16,38.4,108,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 05:00 PM,2020,01,04,17,57.7,152,Unhealthy,77.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 06:00 PM,2020,01,04,18,67.3,157,Unhealthy,77.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 07:00 PM,2020,01,04,19,92.2,170,Unhealthy,117.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 08:00 PM,2020,01,04,20,91.1,169,Unhealthy,90.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 09:00 PM,2020,01,04,21,78.0,163,Unhealthy,65.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 10:00 PM,2020,01,04,22,70.5,159,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-04 11:00 PM,2020,01,04,23,55.7,151,Unhealthy,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 12:00 AM,2020,01,05,00,43.3,120,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 01:00 AM,2020,01,05,01,34.1,97,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 02:00 AM,2020,01,05,02,26.0,80,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 03:00 AM,2020,01,05,03,22.5,73,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 04:00 AM,2020,01,05,04,21.7,71,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 05:00 AM,2020,01,05,05,19.8,67,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 06:00 AM,2020,01,05,06,19.4,66,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 07:00 AM,2020,01,05,07,19.2,66,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 08:00 AM,2020,01,05,08,16.5,60,Moderate,14.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 09:00 AM,2020,01,05,09,15.7,59,Moderate,15.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 10:00 AM,2020,01,05,10,21.3,70,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 11:00 AM,2020,01,05,11,39.6,111,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 12:00 PM,2020,01,05,12,40.3,113,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 01:00 PM,2020,01,05,13,38.1,107,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 02:00 PM,2020,01,05,14,49.0,134,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 03:00 PM,2020,01,05,15,58.0,152,Unhealthy,67.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 04:00 PM,2020,01,05,16,52.0,142,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 05:00 PM,2020,01,05,17,51.5,140,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 06:00 PM,2020,01,05,18,66.7,157,Unhealthy,82.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 07:00 PM,2020,01,05,19,113.9,181,Unhealthy,161.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 08:00 PM,2020,01,05,20,129.4,189,Unhealthy,145.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 09:00 PM,2020,01,05,21,162.7,213,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 10:00 PM,2020,01,05,22,151.3,202,Very Unhealthy,140.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-05 11:00 PM,2020,01,05,23,133.7,191,Unhealthy,116.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 12:00 AM,2020,01,06,00,110.3,179,Unhealthy,87.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 01:00 AM,2020,01,06,01,84.6,166,Unhealthy,59.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 02:00 AM,2020,01,06,02,82.3,165,Unhealthy,80.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 03:00 AM,2020,01,06,03,77.1,162,Unhealthy,72.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 04:00 AM,2020,01,06,04,73.0,160,Unhealthy,69.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 05:00 AM,2020,01,06,05,66.5,157,Unhealthy,60.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 06:00 AM,2020,01,06,06,52.2,142,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 07:00 AM,2020,01,06,07,44.6,123,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 08:00 AM,2020,01,06,08,39.7,111,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 09:00 AM,2020,01,06,09,37.3,105,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 10:00 AM,2020,01,06,10,40.1,112,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 11:00 AM,2020,01,06,11,39.5,111,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 12:00 PM,2020,01,06,12,36.7,104,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 01:00 PM,2020,01,06,13,35.3,100,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 02:00 PM,2020,01,06,14,37.1,105,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 03:00 PM,2020,01,06,15,66.0,156,Unhealthy,95.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 04:00 PM,2020,01,06,16,85.5,166,Unhealthy,105.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 05:00 PM,2020,01,06,17,121.7,185,Unhealthy,158.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 06:00 PM,2020,01,06,18,127.9,188,Unhealthy,134.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 07:00 PM,2020,01,06,19,113.9,181,Unhealthy,100.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 08:00 PM,2020,01,06,20,112.4,180,Unhealthy,111.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 09:00 PM,2020,01,06,21,105.7,177,Unhealthy,99.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 10:00 PM,2020,01,06,22,113.8,181,Unhealthy,122.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-06 11:00 PM,2020,01,06,23,98.9,173,Unhealthy,84.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 12:00 AM,2020,01,07,00,93.4,171,Unhealthy,88.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 01:00 AM,2020,01,07,01,83.2,165,Unhealthy,73.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 02:00 AM,2020,01,07,02,73.1,160,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 03:00 AM,2020,01,07,03,58.0,152,Unhealthy,43.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 04:00 AM,2020,01,07,04,49.5,135,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 05:00 AM,2020,01,07,05,60.7,154,Unhealthy,72.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 06:00 AM,2020,01,07,06,57.8,152,Unhealthy,55.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 07:00 AM,2020,01,07,07,53.4,145,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 08:00 AM,2020,01,07,08,58.2,152,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 09:00 AM,2020,01,07,09,58.5,153,Unhealthy,59.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 10:00 AM,2020,01,07,10,49.7,136,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 11:00 AM,2020,01,07,11,44.8,124,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 12:00 PM,2020,01,07,12,56.2,151,Unhealthy,69.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 01:00 PM,2020,01,07,13,49.4,135,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 02:00 PM,2020,01,07,14,60.6,154,Unhealthy,74.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 03:00 PM,2020,01,07,15,71.7,159,Unhealthy,82.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 04:00 PM,2020,01,07,16,70.3,159,Unhealthy,69.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 05:00 PM,2020,01,07,17,64.6,156,Unhealthy,59.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 06:00 PM,2020,01,07,18,53.8,146,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 07:00 PM,2020,01,07,19,55.9,151,Unhealthy,58.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 08:00 PM,2020,01,07,20,49.9,136,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 09:00 PM,2020,01,07,21,44.4,123,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 10:00 PM,2020,01,07,22,46.7,129,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-07 11:00 PM,2020,01,07,23,48.8,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 12:00 AM,2020,01,08,00,48.9,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 01:00 AM,2020,01,08,01,52.9,144,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 02:00 AM,2020,01,08,02,53.4,145,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 03:00 AM,2020,01,08,03,55.2,150,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 04:00 AM,2020,01,08,04,48.0,132,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 05:00 AM,2020,01,08,05,37.1,105,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 06:00 AM,2020,01,08,06,30.5,90,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 07:00 AM,2020,01,08,07,25.7,80,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 08:00 AM,2020,01,08,08,22.8,74,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 09:00 AM,2020,01,08,09,27.4,83,Moderate,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 10:00 AM,2020,01,08,10,40.7,114,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 11:00 AM,2020,01,08,11,48.8,134,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 12:00 PM,2020,01,08,12,49.4,135,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 01:00 PM,2020,01,08,13,53.2,145,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 02:00 PM,2020,01,08,14,72.1,160,Unhealthy,91.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 03:00 PM,2020,01,08,15,67.0,157,Unhealthy,62.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 04:00 PM,2020,01,08,16,50.0,137,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 05:00 PM,2020,01,08,17,41.0,115,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 06:00 PM,2020,01,08,18,39.0,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2020-01-08 07:00 PM,2020,01,08,19,40.0,112,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
